# x0 (bohr), y0, z0, x1, y1, z1, x2, y2, z2, x3, y3, z3, V (hartree)
1.826249652267596613e+00,-4.938585976620065154e-01,-9.868899794532479675e+00,5.800199183853662621e-01,-9.676937754216800858e-02,-6.758295452979626639e+00,-1.849873198123221263e+00,8.881316350313417374e-01,8.626616864088324732e+00,-5.563965460138361463e-01,-2.975033146504709736e-01,8.000578151665964199e+00,-1.856085126999997836e-01
-5.450905252448832172e-01,1.675231466575911599e-01,-9.099187209257880937e+00,5.451140707946655617e-01,-1.675197513473079269e-01,-8.200560695543078538e+00,2.398259841669730941e-01,-1.421922460339826721e-01,9.286694098328952762e+00,-2.398494640934790978e-01,1.421888815538502882e-01,8.013053806959200998e+00,-3.455486260000000254e-01
-4.537715116575489205e-01,1.499967161513311442e-01,-5.169718698741410989e+00,4.538089341860684356e-01,-1.499561574877526227e-01,-4.596979690633540727e+00,3.318423126318619243e-01,-5.196853368777496485e-01,5.211078965569669208e+00,-3.318796497494393982e-01,5.196448092130754315e-01,4.555619434548322744e+00,-3.237104120999998447e-01
-4.183551357512059199e-01,1.506667422046808480e-01,-2.076255732334889359e+00,4.757116167935703244e-01,-1.524304163500235787e-01,-1.907640787651050385e+00,2.229183171011055731e-01,-6.481959590279958716e-01,1.903887699898022978e+00,-2.802746794119324036e-01,6.499596584346311046e-01,2.080008855126020961e+00,-2.747777956999997162e-01
1.871486448149033699e-01,-2.071654440936029212e-02,-4.918012028133044389e+00,3.690309987369586597e-01,-1.913412604787676722e-03,-6.097567437107330512e+00,-2.561558870360736151e-01,-6.436313150377965808e-01,5.299920068417990571e+00,-3.000236051277730964e-01,6.662612927405636709e-01,5.715659459051563474e+00,-3.352610719999999933e-01
1.228310939169798388e+00,-2.516872959063625736e-01,-9.092548283849534840e+00,-1.633207619434945967e-01,2.064321268454007985e-01,-9.257692264217421751e+00,-7.435882136991097680e-01,-5.771114060394307854e-01,8.857278986333714244e+00,-3.214017846868362227e-01,6.223665805794307282e-01,9.492961657451797208e+00,-3.450855916999999717e-01
1.595939203718313548e+00,-2.733303576756096129e-02,-6.449993884333986571e+00,-1.596040202586136880e+00,2.737584569675243981e-02,-7.098878190567806001e+00,4.908369860880226199e-01,-6.279267516794008464e-02,7.439702096609834392e+00,-4.907358285376925977e-01,6.274995982771787439e-02,6.109169817987150530e+00,-2.062477798999997614e-01
1.576198773495078642e+00,6.837598845100648637e-01,-3.429864908076557306e+00,-1.577917227621481677e+00,-6.841042950272709922e-01,-3.209500054582555606e+00,1.397790971604082888e-01,1.357143312283615733e-01,3.911163959013283620e+00,-1.380604478136815416e-01,-1.353697997857853386e-01,2.728200799427063394e+00,-2.011361699000000502e-01
9.966833712359089992e-01,1.152686055718558755e+00,-2.989180218852333759e+00,-1.276448729973098883e+00,-1.288496744515594594e+00,-3.416417904541782846e+00,-1.472116503246361785e-01,4.136025246360962582e-01,3.837238159914285074e+00,4.269772412717869892e-01,-2.777916891597682625e-01,2.568359710398819828e+00,-2.067927346999998139e-01
2.721035373449314995e-02,1.108845999164398410e+00,-5.953245362371715643e+00,-7.813676468919515949e-01,-1.471578802016995979e+00,-7.206470186351854323e+00,-2.484883205423994712e-01,5.716747501233101492e-01,6.871687353308484347e+00,1.002645890166727005e+00,-2.089417739066399826e-01,6.288027892377650474e+00,-2.259185034999997566e-01
