n,k,PMI,fit0,fit1,fit2,fit3,fit4
3,3,tr,-0.6994986100520613,-0.7754860872453372,-0.6771439828262621,-0.8439609363945221,-1.0235243120381046
3,3,tc,0.7965623790541336,0.8379193603600112,0.7761010810114348,0.8694118027281379,0.24412371109213424
3,4,tr,1.3428646112378355,1.9230053818156916,1.499458378734923,1.5969742758241359,1.9581456710633676
3,4,tc,0.20013641812179833,0.7970256408965856,0.5469690575461332,0.37385708969238773,1.925206585356774
3,5,tr,-2.324108136695211,-3.2090232239673164,-2.693373805349125,-2.4670832940797314,-3.623299939192109
3,5,tc,-5.775514561535761,-6.438969909329517,-6.220047543679524,-5.96288071728235,-7.089980547616536
3,6,tr,2.364176021373537,1.977597955115078,2.570874927309793,2.319823989898402,2.4931091549088666
3,6,tc,10.909120480220801,9.686642082146436,10.378750100649885,10.36217479215946,8.780307652350551
3,7,tr,-0.2049421503985367,2.7602555067336003,0.37065806596384754,0.5598277548405487,3.102758683686201
3,7,tc,-3.279623941393649,-0.4569116673658324,-1.8985643461908577,-2.405736936451267,1.1559539491418405
3,8,tr,-2.810677842333072,-6.22790950568262,-4.115466691435052,-4.147573262515558,-7.0333250117794615
3,8,tc,-14.203931117340275,-15.84510743681583,-14.163505314514556,-14.14678111921849,-16.174465752573155
3,9,tr,8.904612638577994,9.776106822296045,8.983133537149751,9.16705890138403,9.564872325325043
3,9,tc,21.586866298233453,21.672969681160932,19.330789859984073,20.95910159515008,20.188884642637845
3,10,tr,-14.151869246580874,-13.076953101531176,-11.643192923011064,-12.96729054442681,-11.898545788259646
3,10,tc,-13.962965613555104,-14.255791595296893,-11.639425304630029,-13.857147467612819,-12.1416171565256
3,11,tr,10.59306004208519,9.929863267886915,7.6874172975314075,9.659489945375595,8.843419634515577
3,11,tc,4.725734914243433,5.359519183308798,3.762300617220281,4.938154990017661,3.9353997196536454
3,12,tr,-3.9224587513919795,-4.090608776159539,-2.66186505027675,-3.7846277144043374,-3.3077159574528756
3,12,tc,-0.7911927940854626,-1.0586884243306054,-0.6328711075399531,-0.8665113956841151,-0.648368007567134
3,13,tr,0.7364399729122663,0.9463620620901112,0.52892232853195,0.765540079431321,0.6155071222252821
5,1,tc,8.465823938137557,9.496830272207132,7.494964803595087,7.681196591680777,8.450043285634056
5,2,tr,-38.66675606383661,-46.31991513090962,-33.74878099414623,-38.02987510533357,-41.2752823547712
5,2,tc,-0.07351905190182213,0.06007805260732854,0.08436028938336286,0.3174386532426336,-0.2089575194514397
