a,k,PMI,fit0,fit1,fit2,fit3,fit4
1.5,6,tc,-381.8067393739107,-289.8359904407688,-306.2455950178401,-307.30443656612294,-341.83122751970797
1.5,7,tr,157.99375998748968,56.931355634806295,59.740539943873834,294.33201611989176,14.420582501009257
1.5,7,tc,-143.63728138793263,-280.6885899371495,-181.21940276863657,-37.679032470872286,-307.17782466974
1.5,8,tr,377.1622750137327,520.6829767010686,481.2866305888473,17.220266816362976,661.8023040283751
1.5,8,tc,1770.6077202501144,1516.3866292851135,1590.8113746371641,1195.6945176275556,1809.9413044836565
1.5,9,tr,-1511.935937390141,-1413.1881272799055,-1284.6895564377676,-1264.5082568711687,-1226.4335644383727
1.5,9,tc,-1294.0040588731745,-723.706120560174,-1116.4246504818962,-714.8942790996842,-885.5462096358834
1.5,10,tr,-50.81252528746761,-271.8080517182825,-200.55920659092644,239.34907245042257,-871.4052672853626
1.5,10,tc,-3115.0015082158243,-2442.3347847200607,-2748.0387487972057,-2602.965618776043,-3498.447775376088
1.5,11,tr,4615.670159633802,3809.5982257202636,3890.688851229925,3814.20010469494,4621.275364962348
1.5,11,tc,5459.862933617369,3291.418978203434,4788.554543532481,4180.463566272683,5348.966956103104
1.5,12,tr,-5427.386245060335,-3224.254798655944,-4744.927367674701,-4800.89045820251,-5035.375978313705
1.5,12,tc,-2472.202767552886,-1191.0572788701322,-2187.785287159467,-1844.50277303083,-2327.4771348056297
1.5,13,tr,1862.5348883044908,524.8535001062146,1914.7634252020202,1773.4764404687462,2021.6537447129099
2.5,1,tc,20.114075350870742,28.00608879749649,12.202754150663296,18.051212180821636,17.167936152118145
2.5,2,tr,-49.43479475054281,-73.03194628711744,-32.92582106268886,-50.10397230096453,-47.39211261251396
2.5,2,tc,-0.6113565662695475,-0.19844910813410888,-0.28390450134482403,0.20343587987576228,-0.8442241379084336
2.5,3,tr,2.3702112947823206,2.2857509832343967,1.6287038244541403,1.2930973002624313,2.531268597101967
2.5,3,tc,1.6156145149162278,0.6756597177453294,1.0903301689272915,-0.5134691677115342,3.391352603441163
2.5,4,tr,-1.0193758059535902,-2.15380334966655,-0.38451901963054524,0.28020611980753785,-3.1058107515253823
2.5,4,tc,-10.281633636120523,-8.6351122373833,-9.301781936444215,-7.850110696008095,-13.234409799000169
2.5,5,tr,-2.0109981836827853,-3.181299735398011,1.0238097752942115,1.7766934181056113,3.7392853683021343
2.5,5,tc,28.20034960907952,23.142598462192854,26.839136032533123,29.242679485045628,25.88118006211673
2.5,6,tr,-7.571077676177534,8.236608982848693,-11.031196928671697,-20.538238826253952,-2.650412541756854
2.5,6,tc,-25.03237335868706,-11.148807807030717,-26.466932202405992,-33.399287268152094,-13.321410508897202
2.5,7,tr,25.83871211629444,-6.664498906760436,22.44643432407872,29.35612073549909,-7.105413422506803
2.5,7,tc,-54.33383232648715,-71.77719129846488,-39.323366276585325,-39.67877071535874,-61.112912170015804
2.5,8,tr,17.261186930076597,22.662507070111346,12.046778248502356,37.44044132108682,36.990260373594865
2.5,8,tc,159.83094207817064,156.24178354044074,128.7904576620946,151.48168062234024,143.15272114315022
2.5,9,tr,-152.69408224967998,-92.40173468821018,-113.42004351032791,-164.89058682161308,-98.400084489164
2.5,9,tc,-116.47562198908055,-79.68579484181919,-100.50660529119264,-138.1836107707616,-94.39711261222037
2.5,10,tr,171.79171614774884,99.53727330571407,132.73125534597762,167.34791807967628,101.29989432236226
2.5,10,tc,-49.34990403066796,-92.8213021737962,-25.550513393403193,4.18251690760502,-45.790756478613474
2.5,11,tr,33.266052328577224,49.860269196967984,12.238936126683228,8.845726589600243,18.811489548219434
2.5,11,tc,101.99845341708878,122.72386417375678,68.60172211288283,55.97119180935871,84.79191994803094
2.5,12,tr,-147.507456649003,-130.65735590387743,-96.22795024253361,-101.59551496944445,-89.91872079534919
2.5,12,tc,-35.312830265725054,-38.01930105094174,-23.656170157127264,-21.181157418813996,-28.369865467094222
2.5,13,tr,59.582973571930204,49.82410198500083,38.65526418783533,40.071833316606785,37.000319423683706
4.0,1,tc,0.4175179212399698,0.7197969533926596,0.2229565104207012,0.35226726872451763,0.34497145903684157
4.0,2,tr,-23.103998381865964,-33.53119225588968,-14.127399463368349,-21.90447307962944,-20.363392890738965
4.0,2,tc,-0.1132144996687714,-0.32731022549786815,-0.20152589217158834,-0.23843946771479807,-0.15426107618065998
4.0,3,tr,-1.4256725167567748,-1.4465350689889753,-1.1596014942154618,-1.5604568443459783,-1.5870586778252367
4.0,3,tc,0.9539083057029316,1.1406153375591437,1.0089525522457343,1.1708346175626403,0.21292686727125698
4.0,4,tr,2.7217105565406285,3.121997482585005,2.0402578482310574,2.3920861057609173,2.7324009323213616
4.0,4,tc,1.6109151444652348,1.6009033505323558,1.2987233756167953,0.9248885679818315,3.577865026936422
4.0,5,tr,-4.923769576904181,-4.276428079161327,-3.8757190711620026,-2.638509237222973,-5.9106042909944705
